Infinitive,кла́цать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,кла́цающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кла́цавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кла́цая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кла́цав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кла́цавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кла́цаю
2nd Sing,кла́цаешь
3rd Sing,кла́цает
1st Pl,кла́цаем
2nd Pl,кла́цаете
3rd Pl,кла́цают
Past M,кла́цал
Past F,кла́цала
Past N,кла́цало
Past PL,кла́цали
Imp S,кла́цай
Imp PL,кла́цайте
