Infinitive,клони́ть
Zaliznyak Class,4c⑦
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,клоня́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,клони́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клони́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,клонённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,клоня́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,клони́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,клони́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,клоню́
2nd Sing,кло́нишь
3rd Sing,кло́нит
1st Pl,кло́ним
2nd Pl,кло́ните
3rd Pl,кло́нят
Past M,клони́л
Past F,клони́ла
Past N,клони́ло
Past PL,клони́ли
Imp S,клони́
Imp PL,клони́те
