Infinitive,кли́кать
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кли́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кли́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кли́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кли́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,кли́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,кли́чу
2nd Sing,кли́чешь
3rd Sing,кли́чет
1st Pl,кли́чем
2nd Pl,кли́чете
3rd Pl,кли́чут
Past M,кли́кал
Past F,кли́кала
Past N,кли́кало
Past PL,кли́кали
Imp S,кли́чь
Imp PL,кли́чьте
