Infinitive,клуби́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,клубя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,клуби́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клубя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,клуби́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,клублю́сь
2nd Sing,клуби́шься
3rd Sing,клуби́тся
1st Pl,клуби́мся
2nd Pl,клуби́тесь
3rd Pl,клубя́тся
Past M,клуби́лся
Past F,клуби́лась
Past N,клуби́лось
Past PL,клуби́лись
Imp S,клуби́сь
Imp PL,клуби́тесь
