Infinitive,клю́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,клю́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,клю́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клю́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,клю́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,клю́ну
2nd Sing,клю́нешь
3rd Sing,клю́нет
1st Pl,клю́нем
2nd Pl,клю́нете
3rd Pl,клю́нут
Past M,клю́нул
Past F,клю́нула
Past N,клю́нуло
Past PL,клю́нули
Imp S,клю́нь
Imp PL,клю́ньте
