Infinitive,клева́ть
Zaliznyak Class,2b(-ё-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,клюю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,клева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,клёванный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,клюя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,клева́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,клева́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,клюю́
2nd Sing,клюёшь
3rd Sing,клюёт
1st Pl,клюём
2nd Pl,клюёте
3rd Pl,клюю́т
Past M,клева́л
Past F,клева́ла
Past N,клева́ло
Past PL,клева́ли
Imp S,клю́й
Imp PL,клю́йте
