Infinitive,кли́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,кли́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,кли́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кли́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,кли́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кли́кну
2nd Sing,кли́кнешь
3rd Sing,кли́кнет
1st Pl,кли́кнем
2nd Pl,кли́кнете
3rd Pl,кли́кнут
Past M,кли́кнул
Past F,кли́кнула
Past N,кли́кнуло
Past PL,кли́кнули
Imp S,кли́кни
Imp PL,кли́кните
