Infinitive,кла́няться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кла́няющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кла́нявшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кла́няясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кла́нявшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кла́няюсь
2nd Sing,кла́няешься
3rd Sing,кла́няется
1st Pl,кла́няемся
2nd Pl,кла́няетесь
3rd Pl,кла́няются
Past M,кла́нялся
Past F,кла́нялась
Past N,кла́нялось
Past PL,кла́нялись
Imp S,кла́няйся
Imp PL,кла́няйтесь
