Infinitive,кля́сться
Zaliznyak Class,irreg-b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кляну́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кляня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кляну́сь
2nd Sing,клянёшься
3rd Sing,клянётся
1st Pl,клянёмся
2nd Pl,клянётесь
3rd Pl,кляну́тся
Past M,кля́лся
Past F,кляла́сь
Past N,кляло́сь
Past PL,кляли́сь
Imp S,кляни́сь
Imp PL,кляни́тесь
