Infinitive,грести́
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,гребу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грёбший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гребённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,гребя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,грёбши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,гребу́
2nd Sing,гребёшь
3rd Sing,гребёт
1st Pl,гребём
2nd Pl,гребёте
3rd Pl,гребу́т
Past M,грёб
Past F,гребла́
Past N,гребло́
Past PL,гребли́
Imp S,греби́
Imp PL,греби́те
