Infinitive,грясти́*
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гряду́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грядя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
1st Sing,гряду́
2nd Sing,грядёшь
3rd Sing,грядёт
1st Pl,грядём
2nd Pl,грядёте
3rd Pl,гряду́т
Past M,
Past F,
Past N,
Past PL,
Imp S,гряди́
Imp PL,гряди́те
