Infinitive,громыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,громыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,громыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,громыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,громыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,громыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,громыха́ю
2nd Sing,громыха́ешь
3rd Sing,громыха́ет
1st Pl,громыха́ем
2nd Pl,громыха́ете
3rd Pl,громыха́ют
Past M,громыха́л
Past F,громыха́ла
Past N,громыха́ло
Past PL,громыха́ли
Imp S,громыха́й
Imp PL,громыха́йте
