Infinitive,гре́ться
Zaliznyak Class,12a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гре́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гре́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гре́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гре́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гре́юсь
2nd Sing,гре́ешься
3rd Sing,гре́ется
1st Pl,гре́емся
2nd Pl,гре́етесь
3rd Pl,гре́ются
Past M,гре́лся
Past F,гре́лась
Past N,гре́лось
Past PL,гре́лись
Imp S,гре́йся
Imp PL,гре́йтесь
