Infinitive,группирова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,группирова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,группирова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,группиру́юсь
2nd Sing,группиру́ешься
3rd Sing,группиру́ется
1st Pl,группиру́емся
2nd Pl,группиру́етесь
3rd Pl,группиру́ются
Past M,группирова́лся
Past F,группирова́лась
Past N,группирова́лось
Past PL,группирова́лись
Imp S,группиру́йся
Imp PL,группиру́йтесь
