Infinitive,грусти́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,грустя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грусти́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грустя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грусти́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,грусти́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,грущу́
2nd Sing,грусти́шь
3rd Sing,грусти́т
1st Pl,грусти́м
2nd Pl,грусти́те
3rd Pl,грустя́т
Past M,грусти́л
Past F,грусти́ла
Past N,грусти́ло
Past PL,грусти́ли
Imp S,грусти́
Imp PL,грусти́те
