Infinitive,гря́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гря́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,гря́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,гря́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,гря́ну
2nd Sing,гря́нешь
3rd Sing,гря́нет
1st Pl,гря́нем
2nd Pl,гря́нете
3rd Pl,гря́нут
Past M,гря́нул
Past F,гря́нула
Past N,гря́нуло
Past PL,гря́нули
Imp S,гря́нь
Imp PL,гря́ньте
