Infinitive,гро́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,гро́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,гро́хнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гро́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,гро́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гро́хну
2nd Sing,гро́хнешь
3rd Sing,гро́хнет
1st Pl,гро́хнем
2nd Pl,гро́хнете
3rd Pl,гро́хнут
Past M,гро́хнул
Past F,гро́хнула
Past N,гро́хнуло
Past PL,гро́хнули
Imp S,гро́хни
Imp PL,гро́хните
