Infinitive,грузи́ться
Zaliznyak Class,4c // 4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,грузя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грузи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грузя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грузи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,гружу́сь
2nd Sing,гру́зишься
3rd Sing,гру́зится
1st Pl,гру́зимся
2nd Pl,гру́зитесь
3rd Pl,гру́зятся
Past M,грузи́лся
Past F,грузи́лась
Past N,грузи́лось
Past PL,грузи́лись
Imp S,грузи́сь
Imp PL,грузи́тесь
