Infinitive,громи́ть
Zaliznyak Class,4b[⑧]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,громя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,громи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,громи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,громлённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гро́мленный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,громя́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,громи́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,громи́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,громлю́
2nd Sing,громи́шь
3rd Sing,громи́т
1st Pl,громи́м
2nd Pl,громи́те
3rd Pl,громя́т
Past M,громи́л
Past F,громи́ла
Past N,громи́ло
Past PL,громи́ли
Imp S,громи́
Imp PL,громи́те
