Infinitive,гро́хнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,гро́хнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,гро́хнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,гро́хнусь
2nd Sing,гро́хнешься
3rd Sing,гро́хнется
1st Pl,гро́хнемся
2nd Pl,гро́хнетесь
3rd Pl,гро́хнутся
Past M,гро́хнулся
Past F,гро́хнулась
Past N,гро́хнулось
Past PL,гро́хнулись
Imp S,гро́хнись
Imp PL,гро́хнитесь
