Infinitive,грози́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,грозя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грози́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грозя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грози́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,грожу́сь
2nd Sing,грози́шься
3rd Sing,грози́тся
1st Pl,грози́мся
2nd Pl,грози́тесь
3rd Pl,грозя́тся
Past M,грози́лся
Past F,грози́лась
Past N,грози́лось
Past PL,грози́лись
Imp S,грози́сь
Imp PL,грози́тесь
