Infinitive,грохота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,грохо́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грохота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грохоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грохота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,грохота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,грохочу́
2nd Sing,грохо́чешь
3rd Sing,грохо́чет
1st Pl,грохо́чем
2nd Pl,грохо́чете
3rd Pl,грохо́чут
Past M,грохота́л
Past F,грохота́ла
Past N,грохота́ло
Past PL,грохота́ли
Imp S,грохочи́
Imp PL,грохочи́те
