Infinitive,грима́сничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,грима́сничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грима́сничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грима́сничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грима́сничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,грима́сничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,грима́сничаю
2nd Sing,грима́сничаешь
3rd Sing,грима́сничает
1st Pl,грима́сничаем
2nd Pl,грима́сничаете
3rd Pl,грима́сничают
Past M,грима́сничал
Past F,грима́сничала
Past N,грима́сничало
Past PL,грима́сничали
Imp S,грима́сничай
Imp PL,грима́сничайте
