Infinitive,громозди́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,громоздя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,громозди́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,громоздя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,громозди́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,громозжу́сь
2nd Sing,громозди́шься
3rd Sing,громозди́тся
1st Pl,громозди́мся
2nd Pl,громозди́тесь
3rd Pl,громоздя́тся
Past M,громозди́лся
Past F,громозди́лась
Past N,громозди́лось
Past PL,громозди́лись
Imp S,громозди́сь
Imp PL,громозди́тесь
