Infinitive,грани́чить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,грани́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,грани́чивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,грани́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,грани́чив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,грани́чивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,грани́чу
2nd Sing,грани́чишь
3rd Sing,грани́чит
1st Pl,грани́чим
2nd Pl,грани́чите
3rd Pl,грани́чат
Past M,грани́чил
Past F,грани́чила
Past N,грани́чило
Past PL,грани́чили
Imp S,грани́чь
Imp PL,грани́чьте
