Infinitive,чмо́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чмо́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,чмо́кнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чмо́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,чмо́кнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,чмо́кну
2nd Sing,чмо́кнешь
3rd Sing,чмо́кнет
1st Pl,чмо́кнем
2nd Pl,чмо́кнете
3rd Pl,чмо́кнут
Past M,чмо́кнул
Past F,чмо́кнула
Past N,чмо́кнуло
Past PL,чмо́кнули
Imp S,чмо́кни
Imp PL,чмо́кните
