Infinitive,чмо́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чмо́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,чмо́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,чмо́каемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,чмо́кая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,чмо́кав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,чмо́кавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,чмо́каю
2nd Sing,чмо́каешь
3rd Sing,чмо́кает
1st Pl,чмо́каем
2nd Pl,чмо́каете
3rd Pl,чмо́кают
Past M,чмо́кал
Past F,чмо́кала
Past N,чмо́кало
Past PL,чмо́кали
Imp S,чмо́кай
Imp PL,чмо́кайте
