Infinitive,чо́кнуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,чо́кнувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,чо́кнувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,чо́кнусь
2nd Sing,чо́кнешься
3rd Sing,чо́кнется
1st Pl,чо́кнемся
2nd Pl,чо́кнетесь
3rd Pl,чо́кнутся
Past M,чо́кнулся
Past F,чо́кнулась
Past N,чо́кнулось
Past PL,чо́кнулись
Imp S,чо́кнись
Imp PL,чо́книтесь
