Infinitive,хохотну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хохотну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хохотну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хохотну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хохотну́
2nd Sing,хохотнёшь
3rd Sing,хохотнёт
1st Pl,хохотнём
2nd Pl,хохотнёте
3rd Pl,хохотну́т
Past M,хохотну́л
Past F,хохотну́ла
Past N,хохотну́ло
Past PL,хохотну́ли
Imp S,хохотни́
Imp PL,хохотни́те
