Infinitive,хохота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хохо́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хохота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хохоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хохота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хохота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хохочу́
2nd Sing,хохо́чешь
3rd Sing,хохо́чет
1st Pl,хохо́чем
2nd Pl,хохо́чете
3rd Pl,хохо́чут
Past M,хохота́л
Past F,хохота́ла
Past N,хохота́ло
Past PL,хохота́ли
Imp S,хохочи́
Imp PL,хохочи́те
