Infinitive,хода́тайствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хода́тайствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хода́тайствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хода́тайствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хода́тайствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хода́тайствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хода́тайствую
2nd Sing,хода́тайствуешь
3rd Sing,хода́тайствует
1st Pl,хода́тайствуем
2nd Pl,хода́тайствуете
3rd Pl,хода́тайствуют
Past M,хода́тайствовал
Past F,хода́тайствовала
Past N,хода́тайствовало
Past PL,хода́тайствовали
Imp S,хода́тайствуй
Imp PL,хода́тайствуйте
