Infinitive,хоте́ть
Zaliznyak Class,5c'
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хотя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хоте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хотя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хоте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хоте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хочу́
2nd Sing,хо́чешь
3rd Sing,хо́чет
1st Pl,хоти́м
2nd Pl,хоти́те
3rd Pl,хотя́т
Past M,хоте́л
Past F,хоте́ла
Past N,хоте́ло
Past PL,хоте́ли
Imp S,хоти́
Imp PL,хоти́те
