Infinitive,хороше́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хороше́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хороше́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хороше́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хороше́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хороше́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хороше́ю
2nd Sing,хороше́ешь
3rd Sing,хороше́ет
1st Pl,хороше́ем
2nd Pl,хороше́ете
3rd Pl,хороше́ют
Past M,хороше́л
Past F,хороше́ла
Past N,хороше́ло
Past PL,хороше́ли
Imp S,хороше́й
Imp PL,хороше́йте
