Infinitive,ходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хожу́
2nd Sing,хо́дишь
3rd Sing,хо́дит
1st Pl,хо́дим
2nd Pl,хо́дите
3rd Pl,хо́дят
Past M,ходи́л
Past F,ходи́ла
Past N,ходи́ло
Past PL,ходи́ли
Imp S,ходи́
Imp PL,ходи́те
