Infinitive,ты́кать
Zaliznyak Class,6a // 1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ты́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,ты́кающий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,ты́кавший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,ты́канный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ты́ча
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,short
PART:5:Participle Text,ты́кая
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,ты́кав
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,ты́кавши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,ты́чу
2nd Sing,ты́чешь
3rd Sing,ты́чет
1st Pl,ты́чем
2nd Pl,ты́чете
3rd Pl,ты́чут
Past M,ты́кал
Past F,ты́кала
Past N,ты́кало
Past PL,ты́кали
Imp S,ты́чь
Imp PL,ты́чьте
