Infinitive,гаси́ть
Zaliznyak Class,4c[④]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,гася́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,га́сящий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,гаси́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,гаси́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,га́шенный
PART:4:Participle Type,passive
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
PART:5:Participle Text,гася́
PART:5:Participle Type,adverbial
PART:5:Participle Tense,present
PART:5:Participle Long or Short,long
PART:6:Participle Text,гаси́в
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,short
PART:7:Participle Text,гаси́вши
PART:7:Participle Type,adverbial
PART:7:Participle Tense,past
PART:7:Participle Long or Short,long
1st Sing,гашу́
2nd Sing,га́сишь
3rd Sing,га́сит
1st Pl,га́сим
2nd Pl,га́сите
3rd Pl,га́сят
Past M,гаси́л
Past F,гаси́ла
Past N,гаси́ло
Past PL,гаси́ли
Imp S,гаси́
Imp PL,гаси́те
