Infinitive,гастроли́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,гастроли́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,гастроли́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,гастроли́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,гастроли́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,гастроли́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,гастроли́рую
2nd Sing,гастроли́руешь
3rd Sing,гастроли́рует
1st Pl,гастроли́руем
2nd Pl,гастроли́руете
3rd Pl,гастроли́руют
Past M,гастроли́ровал
Past F,гастроли́ровала
Past N,гастроли́ровало
Past PL,гастроли́ровали
Imp S,гастроли́руй
Imp PL,гастроли́руйте
