Infinitive,га́ркнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,га́ркнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,га́ркнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,га́ркнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,га́ркнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,га́ркну
2nd Sing,га́ркнешь
3rd Sing,га́ркнет
1st Pl,га́ркнем
2nd Pl,га́ркнете
3rd Pl,га́ркнут
Past M,га́ркнул
Past F,га́ркнула
Past N,га́ркнуло
Past PL,га́ркнули
Imp S,га́ркни
Imp PL,га́ркните
