Infinitive,га́снуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,га́снущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,га́снувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,га́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,га́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,га́сну
2nd Sing,га́снешь
3rd Sing,га́снет
1st Pl,га́снем
2nd Pl,га́снете
3rd Pl,га́снут
Past M,га́с
Past F,га́сла
Past N,га́сло
Past PL,га́сли
Imp S,га́сни
Imp PL,га́сните
