Infinitive,дли́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,для́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дли́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,для́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дли́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,длю́сь
2nd Sing,дли́шься
3rd Sing,дли́тся
1st Pl,дли́мся
2nd Pl,дли́тесь
3rd Pl,для́тся
Past M,дли́лся
Past F,дли́лась
Past N,дли́лось
Past PL,дли́лись
Imp S,дли́сь
Imp PL,дли́тесь
