Infinitive,сши́ть
Zaliznyak Class,11*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сши́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сошью́
2nd Sing,сошьёшь
3rd Sing,сошьёт
1st Pl,сошьём
2nd Pl,сошьёте
3rd Pl,сошью́т
Past M,сши́л
Past F,сши́ла
Past N,сши́ло
Past PL,сши́ли
Imp S,сше́й
Imp PL,сше́йте
