Infinitive,эвакуи́роваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,эвакуи́рующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,эвакуи́ровавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,эвакуи́руясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,эвакуи́ровавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,эвакуи́руюсь
2nd Sing,эвакуи́руешься
3rd Sing,эвакуи́руется
1st Pl,эвакуи́руемся
2nd Pl,эвакуи́руетесь
3rd Pl,эвакуи́руются
Past M,эвакуи́ровался
Past F,эвакуи́ровалась
Past N,эвакуи́ровалось
Past PL,эвакуи́ровались
Imp S,эвакуи́руйся
Imp PL,эвакуи́руйтесь
