Infinitive,эвакуи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,эвакуи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,эвакуи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,эвакуи́руемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,эвакуи́рованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,эвакуи́руя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,эвакуи́ровав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,эвакуи́ровавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,эвакуи́рую
2nd Sing,эвакуи́руешь
3rd Sing,эвакуи́рует
1st Pl,эвакуи́руем
2nd Pl,эвакуи́руете
3rd Pl,эвакуи́руют
Past M,эвакуи́ровал
Past F,эвакуи́ровала
Past N,эвакуи́ровало
Past PL,эвакуи́ровали
Imp S,эвакуи́руй
Imp PL,эвакуи́руйте
