Infinitive,роди́ть
Zaliznyak Class,4b/c(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,роди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,рождённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,роди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,роди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,рожу́
2nd Sing,роди́шь
3rd Sing,роди́т
1st Pl,роди́м
2nd Pl,роди́те
3rd Pl,родя́т
Past M,роди́л
Past F,родила́
Past N,роди́ло
Past PL,роди́ли
Imp S,роди́
Imp PL,роди́те
