Infinitive,роди́ться
Zaliznyak Class,4b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,роди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,роди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,рожу́сь
2nd Sing,роди́шься
3rd Sing,роди́тся
1st Pl,роди́мся
2nd Pl,роди́тесь
3rd Pl,родя́тся
Past M,роди́лся
Past F,родила́сь
Past N,родило́сь
Past PL,родили́сь
Imp S,роди́сь
Imp PL,роди́тесь
