Infinitive,ропта́ть
Zaliznyak Class,6c(-щ-)
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ро́пщущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ропта́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ропща́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ропта́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ропта́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ропщу́
2nd Sing,ро́пщешь
3rd Sing,ро́пщет
1st Pl,ро́пщем
2nd Pl,ро́пщете
3rd Pl,ро́пщут
Past M,ропта́л
Past F,ропта́ла
Past N,ропта́ло
Past PL,ропта́ли
Imp S,ропщи́
Imp PL,ропщи́те
