Infinitive,рокота́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,роко́чущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,рокота́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,рокоча́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,рокота́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,рокота́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,рокочу́
2nd Sing,роко́чешь
3rd Sing,роко́чет
1st Pl,роко́чем
2nd Pl,роко́чете
3rd Pl,роко́чут
Past M,рокота́л
Past F,рокота́ла
Past N,рокота́ло
Past PL,рокота́ли
Imp S,рокочи́
Imp PL,рокочи́те
