Infinitive,тя́вкнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тя́вкнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,тя́вкнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,тя́вкнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тя́вкну
2nd Sing,тя́вкнешь
3rd Sing,тя́вкнет
1st Pl,тя́вкнем
2nd Pl,тя́вкнете
3rd Pl,тя́вкнут
Past M,тя́вкнул
Past F,тя́вкнула
Past N,тя́вкнуло
Past PL,тя́вкнули
Imp S,тя́вкни
Imp PL,тя́вкните
