Infinitive,тяготи́ться
Zaliznyak Class,4b(-щ-)
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тяготя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяготи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяготя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тяготи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тягощу́сь
2nd Sing,тяготи́шься
3rd Sing,тяготи́тся
1st Pl,тяготи́мся
2nd Pl,тяготи́тесь
3rd Pl,тяготя́тся
Past M,тяготи́лся
Past F,тяготи́лась
Past N,тяготи́лось
Past PL,тяготи́лись
Imp S,тяготи́сь
Imp PL,тяготи́тесь
