Infinitive,тяготи́ть
Zaliznyak Class,4b(-щ-)
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,тяготя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяготи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяготи́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тягощённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,тяготя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,тяготи́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,тяготи́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,тягощу́
2nd Sing,тяготи́шь
3rd Sing,тяготи́т
1st Pl,тяготи́м
2nd Pl,тяготи́те
3rd Pl,тяготя́т
Past M,тяготи́л
Past F,тяготи́ла
Past N,тяготи́ло
Past PL,тяготи́ли
Imp S,тяготи́
Imp PL,тяготи́те
