Infinitive,тяга́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тяга́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяга́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяга́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тяга́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,тяга́юсь
2nd Sing,тяга́ешься
3rd Sing,тяга́ется
1st Pl,тяга́емся
2nd Pl,тяга́етесь
3rd Pl,тяга́ются
Past M,тяга́лся
Past F,тяга́лась
Past N,тяга́лось
Past PL,тяга́лись
Imp S,тяга́йся
Imp PL,тяга́йтесь
