Infinitive,тяну́ться
Zaliznyak Class,3c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,тяну́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяну́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяну́вшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,тяну́сь
2nd Sing,тя́нешься
3rd Sing,тя́нется
1st Pl,тя́немся
2nd Pl,тя́нетесь
3rd Pl,тя́нутся
Past M,тяну́лся
Past F,тяну́лась
Past N,тяну́лось
Past PL,тяну́лись
Imp S,тяни́сь
Imp PL,тяни́тесь
