Infinitive,тяготе́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тяготе́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяготе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяготе́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тяготе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тяготе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тяготе́ю
2nd Sing,тяготе́ешь
3rd Sing,тяготе́ет
1st Pl,тяготе́ем
2nd Pl,тяготе́ете
3rd Pl,тяготе́ют
Past M,тяготе́л
Past F,тяготе́ла
Past N,тяготе́ло
Past PL,тяготе́ли
Imp S,тяготе́й
Imp PL,тяготе́йте
