Infinitive,тя́вкать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тя́вкающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тя́вкавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тя́вкая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тя́вкав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тя́вкавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тя́вкаю
2nd Sing,тя́вкаешь
3rd Sing,тя́вкает
1st Pl,тя́вкаем
2nd Pl,тя́вкаете
3rd Pl,тя́вкают
Past M,тя́вкал
Past F,тя́вкала
Past N,тя́вкало
Past PL,тя́вкали
Imp S,тя́вкай
Imp PL,тя́вкайте
