Infinitive,тяжеле́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,тяжеле́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,тяжеле́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,тяжеле́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,тяжеле́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,тяжеле́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,тяжеле́ю
2nd Sing,тяжеле́ешь
3rd Sing,тяжеле́ет
1st Pl,тяжеле́ем
2nd Pl,тяжеле́ете
3rd Pl,тяжеле́ют
Past M,тяжеле́л
Past F,тяжеле́ла
Past N,тяжеле́ло
Past PL,тяжеле́ли
Imp S,тяжеле́й
Imp PL,тяжеле́йте
