Infinitive,"ка́шлянуть, кашляну́ть*"
Zaliznyak Class,3a③ // 3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́шлянувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,кашляну́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ка́шлянув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,кашляну́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ка́шляну
2nd Sing,ка́шлянешь
3rd Sing,ка́шлянет
1st Pl,ка́шлянем
2nd Pl,ка́шлянете
3rd Pl,ка́шлянут
Past M,ка́шлянул
Past F,ка́шлянула
Past N,ка́шлянуло
Past PL,ка́шлянули
Imp S,ка́шляни
Imp PL,ка́шляньте
