Infinitive,ка́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ка́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́нув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,ка́нувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,ка́ну
2nd Sing,ка́нешь
3rd Sing,ка́нет
1st Pl,ка́нем
2nd Pl,ка́нете
3rd Pl,ка́нут
Past M,ка́нул
Past F,ка́нула
Past N,ка́нуло
Past PL,ка́нули
Imp S,ка́нь
Imp PL,ка́ньте
