Infinitive,камене́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,камене́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,камене́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,камене́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,камене́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,камене́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,камене́ю
2nd Sing,камене́ешь
3rd Sing,камене́ет
1st Pl,камене́ем
2nd Pl,камене́ете
3rd Pl,камене́ют
Past M,камене́л
Past F,камене́ла
Past N,камене́ло
Past PL,камене́ли
Imp S,камене́й
Imp PL,камене́йте
