Infinitive,качну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,качну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ка́чнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,качну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,качну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,качну́
2nd Sing,качнёшь
3rd Sing,качнёт
1st Pl,качнём
2nd Pl,качнёте
3rd Pl,качну́т
Past M,качну́л
Past F,качну́ла
Past N,качну́ло
Past PL,качну́ли
Imp S,качни́
Imp PL,качни́те
