Infinitive,капитули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,капитули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,капитули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,капитули́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,капитули́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,капитули́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,капитули́рую
2nd Sing,капитули́руешь
3rd Sing,капитули́рует
1st Pl,капитули́руем
2nd Pl,капитули́руете
3rd Pl,капитули́руют
Past M,капитули́ровал
Past F,капитули́ровала
Past N,капитули́ровало
Past PL,капитули́ровали
Imp S,капитули́руй
Imp PL,капитули́руйте
