Infinitive,каза́ться
Zaliznyak Class,6c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ка́жущийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,каза́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кажа́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,каза́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кажу́сь
2nd Sing,ка́жешься
3rd Sing,ка́жется
1st Pl,ка́жемся
2nd Pl,ка́жетесь
3rd Pl,ка́жутся
Past M,каза́лся
Past F,каза́лась
Past N,каза́лось
Past PL,каза́лись
Imp S,кажи́сь
Imp PL,кажи́тесь
