Infinitive,ката́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ката́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ката́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ката́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ката́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ката́юсь
2nd Sing,ката́ешься
3rd Sing,ката́ется
1st Pl,ката́емся
2nd Pl,ката́етесь
3rd Pl,ката́ются
Past M,ката́лся
Past F,ката́лась
Past N,ката́лось
Past PL,ката́лись
Imp S,ката́йся
Imp PL,ката́йтесь
