Infinitive,кара́бкаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,кара́бкающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кара́бкавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,кара́бкаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кара́бкавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,кара́бкаюсь
2nd Sing,кара́бкаешься
3rd Sing,кара́бкается
1st Pl,кара́бкаемся
2nd Pl,кара́бкаетесь
3rd Pl,кара́бкаются
Past M,кара́бкался
Past F,кара́бкалась
Past N,кара́бкалось
Past PL,кара́бкались
Imp S,кара́бкайся
Imp PL,кара́бкайтесь
