Infinitive,кати́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,катя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,кати́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,катя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,кати́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,качу́сь
2nd Sing,ка́тишься
3rd Sing,ка́тится
1st Pl,ка́тимся
2nd Pl,ка́титесь
3rd Pl,ка́тятся
Past M,кати́лся
Past F,кати́лась
Past N,кати́лось
Past PL,кати́лись
Imp S,кати́сь
Imp PL,кати́тесь
